"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,2,"El Pinal","Solo danos",4
2014,2,"El Playon de Los Comuneros","Herido",5
2014,2,"El Playon de Los Comuneros","Solo danos",2
2014,2,"El Poblado","Herido",10
2014,2,"El Poblado","Solo danos",16
2014,2,"El Pomar","Herido",4
2014,2,"El Progreso","Herido",15
2014,2,"El Progreso","Solo danos",17
2014,2,"El Raizal","Herido",4
2014,2,"El Raizal","Solo danos",1
2014,2,"El Rincon","Herido",5
2014,2,"El Rincon","Solo danos",5
2014,2,"El Rodeo","Solo danos",2
2014,2,"El Salado","Herido",2
2014,2,"El Salado","Solo danos",1
2014,2,"El Salvador","Herido",6
2014,2,"El Salvador","Solo danos",4
2014,2,"El Socorro","Herido",1
2014,2,"El Socorro","Solo danos",1
2014,2,"El Tesoro","Herido",5
2014,2,"El Tesoro","Solo danos",9
2014,2,"El Triunfo","Herido",1
2014,2,"El Velodromo","Herido",10
2014,2,"El Velodromo","Solo danos",5
2014,2,"El Volador","Herido",3
2014,2,"El Volador","Solo danos",2
2014,2,"Enciso","Herido",8
2014,2,"Enciso","Solo danos",4
2014,2,"Estacion Villa","Herido",13
2014,2,"Estacion Villa","Solo danos",12
2014,2,"Estadio","Herido",15
2014,2,"Estadio","Solo danos",17
2014,2,"Fatima","Herido",10
2014,2,"Fatima","Solo danos",13
2014,2,"Ferrini","Herido",3
2014,2,"Ferrini","Solo danos",1
2014,2,"Florencia","Herido",5
2014,2,"Florencia","Solo danos",1
2014,2,"Florida Nueva","Herido",8
2014,2,"Florida Nueva","Solo danos",4
2014,2,"Francisco Antonio Zea","Herido",1
2014,2,"Francisco Antonio Zea","Solo danos",3
2014,2,"Gerona","Herido",9
2014,2,"Gerona","Solo danos",1
2014,2,"Girardot","Herido",14
2014,2,"Girardot","Solo danos",6
2014,2,"Granada","Herido",6
2014,2,"Granada","Solo danos",6
2014,2,"Granizal","Herido",4
2014,2,"Granizal","Solo danos",3
2014,2,"Guayabal","Herido",18
2014,2,"Guayabal","Solo danos",21
2014,2,"Guayaquil","Herido",27
2014,2,"Guayaquil","Muerto",1
2014,2,"Guayaquil","Solo danos",37
